mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
stage3b,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",2193.444,0.173,0.169,0.176,,,12.633,25.267,0.000,0.000,0.936,29.959
baseline,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1863.830,0.849,0.842,0.853,,,50.534,101.068,0.000,0.000,3.745,119.837
stage3b,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1866.313,0.849,0.845,0.856,,,50.534,101.068,0.000,0.000,3.745,119.837
baseline,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",1484.425,0.079,0.072,0.083,,,0.197,0.395,0.000,0.000,0.015,0.468
stage3b,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",1495.517,0.076,0.072,0.079,,,0.197,0.395,0.000,0.000,0.015,0.468
baseline,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2006.785,0.118,0.115,0.121,,,3.158,6.317,0.000,0.000,0.234,7.490
stage3b,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2116.332,0.115,0.111,0.121,,,3.158,6.317,0.000,0.000,0.234,7.490
baseline,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2181.525,0.297,0.292,0.303,,,12.633,25.267,0.000,0.000,0.936,29.959
stage3b,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2317.947,0.297,0.293,0.300,,,12.633,25.267,0.000,0.000,0.936,29.959
baseline,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2317.148,1.324,1.315,1.332,,,50.534,101.068,0.000,0.000,3.745,119.837
stage3b,ok,matmul_to_pointwise,matmul_then_long_adds,graph_input_or_weight,local_lx_or_unmodeled_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",2334.333,1.324,1.316,1.329,,,50.534,101.068,0.000,0.000,3.745,119.837
baseline,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,128x128,128,0,0,0,0.000,0,{},{},1193.529,0.052,0.045,0.055,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,512x512,512,0,0,0,0.000,0,{},{},895.428,0.063,0.061,0.066,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,512x512,512,0,0,0,0.000,0,{},{},845.202,0.061,0.059,0.064,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,1024x1024,1024,0,0,0,0.000,0,{},{},868.907,0.105,0.101,0.108,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,1024x1024,1024,0,0,0,0.000,0,{},{},810.340,0.103,0.100,0.105,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,2048x2048,2048,0,0,0,0.000,0,{},{},804.133,0.263,0.258,0.264,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,pointwise,pointwise_control,control_no_restickify,control_no_restickify,2048x2048,2048,0,0,0,0.000,0,{},{},764.366,0.264,0.260,0.270,,,0.000,0.000,0.000,0.000,0.000,0.000
